"state_name","district_name","crop","production","area_rounded"
"Tamil Nadu","ARIYALUR","Rice",,"24574"
"Tamil Nadu","ARIYALUR","Arhar/Tur",,"209"
"Tamil Nadu","ARIYALUR","Bajra",,"565"
"Tamil Nadu","ARIYALUR","Banana",,"190"
"Tamil Nadu","ARIYALUR","Cashewnut",,"31113"
"Tamil Nadu","ARIYALUR","Castor seed",,"27"
"Tamil Nadu","ARIYALUR","Coconut ",,"335"
"Tamil Nadu","ARIYALUR","Coriander",,"460"
"Tamil Nadu","ARIYALUR","Cotton(lint)",,"3566"
"Tamil Nadu","ARIYALUR","Dry chillies",,"1774"
"Tamil Nadu","ARIYALUR","Groundnut",,"14528"
"Tamil Nadu","ARIYALUR","Jowar",,"6674"
"Tamil Nadu","ARIYALUR","Maize",,"9797"
"Tamil Nadu","ARIYALUR","Moong(Green Gram)",,"39"
"Tamil Nadu","ARIYALUR","Onion",,"21"
"Tamil Nadu","ARIYALUR","Ragi",,"13"
"Tamil Nadu","ARIYALUR","Sugarcane",,"8608"
"Tamil Nadu","ARIYALUR","Sunflower",,"221"
"Tamil Nadu","ARIYALUR","Sweet potato",,"2"
"Tamil Nadu","ARIYALUR","Tapioca",,"258"
"Tamil Nadu","ARIYALUR","Turmeric",,"10"
"Tamil Nadu","ARIYALUR","Urad",,"1192"
"Tamil Nadu","ARIYALUR","Rice","80462","25978"
"Tamil Nadu","ARIYALUR","Small millets","649","404"
"Tamil Nadu","ARIYALUR","Arhar/Tur","122","160"
"Tamil Nadu","ARIYALUR","Bajra","1082","644"
"Tamil Nadu","ARIYALUR","Banana","5761","134"
"Tamil Nadu","ARIYALUR","Cashewnut","9975","31188"
"Tamil Nadu","ARIYALUR","Castor seed","6","21"
"Tamil Nadu","ARIYALUR","Coconut ","5200","336"
"Tamil Nadu","ARIYALUR","Coriander","134","338"
"Tamil Nadu","ARIYALUR","Cotton(lint)","11033","4074"
"Tamil Nadu","ARIYALUR","Dry chillies","608","1676"
"Tamil Nadu","ARIYALUR","Groundnut","27002","13878"
"Tamil Nadu","ARIYALUR","Jowar","7043","4959"
"Tamil Nadu","ARIYALUR","Maize","23891","9979"
"Tamil Nadu","ARIYALUR","Moong(Green Gram)","11","13"
"Tamil Nadu","ARIYALUR","Onion","458","47"
"Tamil Nadu","ARIYALUR","Ragi","130","47"
"Tamil Nadu","ARIYALUR","Sesamum","452","1652"
"Tamil Nadu","ARIYALUR","Sugarcane","809944","6970"
"Tamil Nadu","ARIYALUR","Sunflower","148","111"
"Tamil Nadu","ARIYALUR","Sweet potato","29","2"
"Tamil Nadu","ARIYALUR","Tapioca","8858","257"
"Tamil Nadu","ARIYALUR","Turmeric","106","21"
"Tamil Nadu","ARIYALUR","Urad","400","1046"
"Tamil Nadu","ARIYALUR","Arhar/Tur","138","209"
"Tamil Nadu","ARIYALUR","Castor seed","7","27"
"Tamil Nadu","ARIYALUR","Cotton(lint)","9361","5684"
"Tamil Nadu","ARIYALUR","Groundnut","37266","12058"
"Tamil Nadu","ARIYALUR","Maize","8630","9996"
"Tamil Nadu","ARIYALUR","Moong(Green Gram)","2","4"
"Tamil Nadu","ARIYALUR","Ragi","109","42"
"Tamil Nadu","ARIYALUR","Rice","97869","25211"
"Tamil Nadu","ARIYALUR","Sunflower","245","202"
"Tamil Nadu","ARIYALUR","Urad","741","1526"
"Tamil Nadu","ARIYALUR","Sugarcane","739006","7500"
"Tamil Nadu","ARIYALUR","Bajra","1499","590"
"Tamil Nadu","ARIYALUR","Cotton(lint)","36179","7661"
"Tamil Nadu","ARIYALUR","Groundnut","35766","9999"
"Tamil Nadu","ARIYALUR","Jowar","2114","1659"
"Tamil Nadu","ARIYALUR","Maize","60881","11778"
"Tamil Nadu","ARIYALUR","Ragi","37","14"
"Tamil Nadu","ARIYALUR","Rice","97257","24097"
"Tamil Nadu","ARIYALUR","Bajra","18","6"
"Tamil Nadu","ARIYALUR","Cotton(lint)","413","150"
"Tamil Nadu","ARIYALUR","Groundnut","18093","3028"
"Tamil Nadu","ARIYALUR","Jowar","22","15"
"Tamil Nadu","ARIYALUR","Maize","2374","357"
"Tamil Nadu","ARIYALUR","Ragi","9","3"
"Tamil Nadu","ARIYALUR","Arhar/Tur","167","192"
"Tamil Nadu","ARIYALUR","Banana","6292","144"
"Tamil Nadu","ARIYALUR","Cashewnut","6468","29930"
"Tamil Nadu","ARIYALUR","Castor seed","8","38"
"Tamil Nadu","ARIYALUR","Coconut ","2600000","323"
"Tamil Nadu","ARIYALUR","Coriander","35","75"
"Tamil Nadu","ARIYALUR","Dry chillies","509","735"
"Tamil Nadu","ARIYALUR","Moong(Green Gram)","4","6"
"Tamil Nadu","ARIYALUR","Onion","329","26"
"Tamil Nadu","ARIYALUR","Small millets","705","259"
"Tamil Nadu","ARIYALUR","Sugarcane","880259","7967"
"Tamil Nadu","ARIYALUR","Sunflower","418","228"
"Tamil Nadu","ARIYALUR","Tapioca","10282","273"
"Tamil Nadu","ARIYALUR","Turmeric","548","100"
"Tamil Nadu","ARIYALUR","Urad","1163","1496"
"Tamil Nadu","ARIYALUR","Arhar/Tur","78","99"
"Tamil Nadu","ARIYALUR","Castor seed","14","65"
"Tamil Nadu","ARIYALUR","Cotton(lint)","15664","8634"
"Tamil Nadu","ARIYALUR","Groundnut","23014","9108"
"Tamil Nadu","ARIYALUR","Horse-gram",,"1"
"Tamil Nadu","ARIYALUR","Maize","35469","14743"
"Tamil Nadu","ARIYALUR","Moong(Green Gram)","1","2"
"Tamil Nadu","ARIYALUR","Ragi","15","8"
"Tamil Nadu","ARIYALUR","Rice","36392","17523"
"Tamil Nadu","ARIYALUR","Sunflower","922","754"
"Tamil Nadu","ARIYALUR","Urad","924","1703"
"Tamil Nadu","ARIYALUR","Sugarcane","707584","7804"
"Tamil Nadu","ARIYALUR","Bajra","2888","777"
"Tamil Nadu","ARIYALUR","Castor seed","10","31"
"Tamil Nadu","ARIYALUR","Cotton(lint)","29867","8815"
